Reaction	Condition	LB	UB	RID	System	Name	Flux
AC1_v35	Glycerol	0.256255046273181	0.28728947295871515	11352	MISC	ACKr	0.2720952167664959
AC1_v35	Glutamate	-0.3341755297802197	-0.32180711936477335	19521	MISC	PTAr	-0.33027077382320325
AC1_v35	Glutamate	0.32180711936477335	0.3341755297802197	11352	MISC	ACKr	0.33027077382320325
AC1_v35	Succinate	-0.5089901658803319	-0.49721371464375097	19521	MISC	PTAr	-0.5028603866208095
AC1_v35	Succinate	0.49721371464375097	0.5089901658803319	11352	MISC	ACKr	0.5028603866208095
AC1_v35	Alanine	5.442882720834193	6.269164855912622	19521	MISC	PTAr	5.918360631939231
AC1_v35	Alanine	-6.269164855912622	-5.442882720834193	11352	MISC	ACKr	-5.918360631939231
Rib_upt	Ribose	-19.01527193240538	-13.604772159119573	EX_47013	pseudo	ribose	-16.036298228769024
ANA5_vXX	Ribose	-6.165653373230368	-3.658699242847234	oad	MISC	OAD	-4.934088472334535
ANA5_vXX	Glucose	-4.587993322175102	1.8118860605355784	oad	MISC	OAD	-0.7469048204896762
ANA5_vXX	Glycerol	-5.057008409280009	-3.885637330393852	oad	MISC	OAD	-4.420082670010943
ANA5_vXX	Glutamate	-2.7713692005514714	14.888423456309148	oad	MISC	OAD	5.4957288299126485
ANA5_vXX	Succinate	-1.706877954822162	18.258558166412122	oad	MISC	OAD	6.434238297962507
ANA5_vXX	Alanine	-7.487203663315217	-6.199931616888095	oad	MISC	OAD	-6.901148716512433
TCA6_v25	Ribose	-4.845491804638641	-2.552916205072124	17661	TCA	SUCOAS	-3.649111217895463
TCA6_v25	Glucose	-1.5580477959411905	-0.9061315530855711	17661	TCA	SUCOAS	-1.2362140116092692
TCA6_v25	Glycerol	-1.574606951773488	-0.6522261759152046	17661	TCA	SUCOAS	-1.0475296523512163
TCA6_v25	Glutamate	-14.521068824483313	-13.561300358451174	17661	TCA	SUCOAS	-13.981784042236006
TCA6_v25	Succinate	-5.734636268155088	-5.095764308830101	17661	TCA	SUCOAS	-5.313748552917597
TCA6_v25	Alanine	-10.70509580760252	-9.362107123149453	17661	TCA	SUCOAS	-10.033778152760675
GOX1_v29	Ribose	1.1185349171308383	1.5956179692850456	13245	MISC	ICL	1.3462038697310956
GOX1_v29	Glucose	0.004514283922895768	0.15899142855841453	13245	MISC	ICL	0.06255898975441483
GOX1_v29	Glycerol	0.001773954730863114	0.09172660697465335	13245	MISC	ICL	0.030914311746684204
GOX1_v29	Glutamate	0.02707332651892846	0.5534217595226003	13245	MISC	ICL	0.2594989258313385
GOX1_v29	Succinate	0.04251634968662321	0.6505389546950338	13245	MISC	ICL	0.47003447272729415
GOX1_v29	Alanine	0.028680467452372925	0.5643458813071858	13245	MISC	ICL	0.2773054220325912
TCA8_v27	Ribose	-6.866904611579929	-4.4209587817229155	12460	TCA	FUM	-5.639338332908559
TCA8_v27	Glucose	-2.5724309989803515	-1.919477032404496	12460	TCA	FUM	-2.2623408138667256
TCA8_v27	Glycerol	-2.0397722557567426	-1.128414893100275	12460	TCA	FUM	-1.5184831184858036
TCA8_v27	Glutamate	-15.276849926141738	-14.456811741453958	12460	TCA	FUM	-14.775405080757473
TCA8_v27	Succinate	-30.137749710583165	-29.41254843631971	12460	TCA	FUM	-29.726757508434236
TCA8_v27	Alanine	-11.421248303484314	-10.518309233780755	12460	TCA	FUM	-10.951072738823914
