rhea,kegg
11596,R00965
11597,R00965
11598,R00965
11599,R00965
11600,R00512
11601,R00512
11602,R00512
11603,R00512
24036,R00334
24037,R00334
24038,R00334
24039,R00334
11604,R04484
11605,R04484
11606,R04484
11607,R04484
11608,R07249
11609,R07249
11610,R07249
11611,R07249
11612,R00248
11613,R00248
11614,R00248
11615,R00248
11620,R02605
11621,R02605
11622,R02605
11623,R02605
11624,R03796
11625,R03796
11626,R03796
11627,R03796
11632,R03599
11633,R03599
11634,R03599
11635,R03599
11636,R04552
11637,R04552
11638,R04552
11639,R04552
11640,R07351
11641,R07351
11642,R07351
11643,R07351
11644,R07352
11645,R07352
11646,R07352
11647,R07352
11648,R02178
11649,R02178
11650,R02178
11651,R02178
11652,R01535
11653,R01535
11654,R01535
11655,R01535
11656,R12056
11657,R12056
11658,R12056
11659,R12056
11660,R03482
11661,R03482
11662,R03482
11663,R03482
11664,R03468
11665,R03468
11666,R03468
11667,R03468
11672,R01716
11673,R01716
11674,R01716
11675,R01716
11676,R01079
11677,R01079
11678,R01079
11679,R01079
11680,R01231
11681,R01231
11682,R01231
11683,R01231
11688,R03657
11689,R03657
11690,R03657
11691,R03657
11692,R00112
11693,R00112
11694,R00112
11695,R00112
11696,R05757
11697,R05757
11698,R05757
11699,R05757
11700,R02210
11701,R02210
11702,R02210
11703,R02210
11704,R05171
11705,R05171
11706,R05171
11707,R05171
11708,R01130
11709,R01130
11710,R01130
11711,R01130
11712,R07160
11713,R07160
11714,R07160
11715,R07160
42316,R10516
42317,R10516
42318,R10516
42319,R10516
11716,R03804
11717,R03804
11718,R03804
11719,R03804
11720,R03187
11721,R03187
11722,R03187
11723,R03187
11724,R02021
11725,R02021
11726,R02021
11727,R02021
11728,R02553
11729,R02553
11730,R02553
11731,R02553
11732,R08922
11733,R08922
11734,R08922
11735,R08922
11736,R02994
11737,R02994
11738,R02994
11739,R02994
11740,R00115
11741,R00115
11742,R00115
11743,R00115
11744,R00618
11745,R00618
11746,R00618
11747,R00618
11748,R07247
11749,R07247
11750,R07247
11751,R07247
11752,R02942
11753,R02942
11754,R02942
11755,R02942
11756,R04562
11757,R04562
11758,R04562
11759,R04562
11764,R01589
11765,R01589
11766,R01589
11767,R01589
11768,R01073
11769,R01073
11770,R01073
11771,R01073
11772,R04285
11773,R04285
11774,R04285
11775,R04285
11776,R03370
11777,R03370
11778,R03370
11779,R03370
11780,R05927
11781,R05927
11782,R05927
11783,R05927
11784,R07165
11785,R07165
11786,R07165
11787,R07165
11788,R07164
11789,R07164
11790,R07164
11791,R07164
11792,R07194
11793,R07194
11794,R07194
11795,R07194
11796,R02373
11797,R02373
11798,R02373
11799,R02373
11800,R00103
11801,R00103
11802,R00103
11803,R00103
11804,R01486
11805,R01486
11806,R01486
11807,R01486
11808,R02882
11809,R02882
11810,R02882
11811,R02882
18861,R08538
18862,R08538
18863,R08538
18864,R08538
11812,R01851
11813,R01851
11814,R01851
11815,R01851
11816,R00771
11817,R00771
11818,R00771
11819,R00771
11820,R04074
11821,R04074
11822,R04074
11823,R04074
11824,R01226
11825,R01226
11826,R01226
11827,R01226
11828,R11786
11829,R11786
11830,R11786
11831,R11786
11832,R04115
11833,R04115
11834,R04115
11835,R04115
11836,R04532
11837,R04532
11838,R04532
11839,R04532
11840,R01419
11841,R01419
11842,R01419
11843,R01419
11844,R00212
11845,R00212
11846,R00212
11847,R00212
11848,R07228
11849,R07228
11850,R07228
11851,R07228
11852,R01402
11853,R01402
11854,R01402
11855,R01402
11856,R05801
11857,R05801
11858,R05801
11859,R05801
11860,R02626
11861,R02626
11862,R02626
11863,R02626
11864,R02511
11865,R02511
11866,R02511
11867,R02511
11868,R07144
11869,R07144
11870,R07144
11871,R07144
11872,R03262
11873,R03262
11874,R03262
11875,R03262
11876,R02580
11877,R02580
11878,R02580
11879,R02580
11880,R03202
11881,R03202
11882,R03202
11883,R03202
11884,R02839
11885,R02839
11886,R02839
11887,R02839
56856,R00544
56857,R00544
56858,R00544
56859,R00544
11892,R04714
11893,R04714
11894,R04714
11895,R04714
11896,R04263
11897,R04263
11898,R04263
11899,R04263
11900,R01934
11901,R01934
11902,R01934
11903,R01934
11904,R02815
11905,R02815
11906,R02815
11907,R02815
11908,R03781
11909,R03781
11910,R03781
11911,R03781
11912,R04557
11913,R04557
11914,R04557
11915,R04557
11916,R04556
11917,R04556
11918,R04556
11919,R04556
11920,R04734
11921,R04734
11922,R04734
11923,R04734
11924,R03486
11925,R03486
11926,R03486
11927,R03486
11932,R01553
11933,R01553
11934,R01553
11935,R01553
11936,R01614
11937,R01614
11938,R01614
11939,R01614
11940,R00665
11941,R00665
11942,R00665
11943,R00665
11948,R01301
11949,R01301
11950,R01301
11951,R01301
11952,R01394
11953,R01394
11954,R01394
11955,R01394
11956,R01460
11957,R01460
11958,R01460
11959,R01460
11960,R04475
11961,R04475
11962,R04475
11963,R04475
11964,R07597
11965,R07597
11966,R07597
11967,R07597
19037,R02822
19038,R02822
19039,R02822
19040,R02822
11968,R03441
11969,R03441
11970,R03441
11971,R03441
11976,R04060
11977,R04060
11978,R04060
11979,R04060
11980,R02742
11981,R02742
11982,R02742
11983,R02742
11984,R02212
11985,R02212
11986,R02212
11987,R02212
11988,R03411
11989,R03411
11990,R03411
11991,R03411
11992,R02204
11993,R02204
11994,R02204
11995,R02204
11996,R03964
11997,R03964
11998,R03964
11999,R03964
12000,R00134
12001,R00134
12002,R00134
12003,R00134
12004,R06048
12005,R06048
12006,R06048
12007,R06048
12012,R02134
12013,R02134
12014,R02134
12015,R02134
12016,R07648
12017,R07648
12018,R07648
12019,R07648
12020,R03909
12021,R03909
12022,R03909
12023,R03909
12024,R03075
12025,R03075
12026,R03075
12027,R03075
12028,R02284
12029,R02284
12030,R02284
12031,R02284
12036,R04185
12037,R04185
12038,R04185
12039,R04185
12040,R04186
12041,R04186
12042,R04186
12043,R04186
12044,R01369
12045,R01369
12046,R01369
12047,R01369
21164,R00630
