locustag,Desc
PN96_RS02110,rpoE
PN96_RS02115,chrR
PN96_RS02120,ampG
PN96_RS02125,ppiA
PN96_RS02130,yajG
PN96_RS02135,rlmG
PN96_RS02140,bolA
PN96_RS02145,nqrA
PN96_RS02150,nqrB
PN96_RS02155,nqrC
PN96_RS02160,nqrD
PN96_RS02165,nqrE
PN96_RS02170,nqrF
PN96_RS02175,apbE
PN96_RS02190,dinB
PN96_RS02195,recQ
PN96_RS02225,parS
PN96_RS02230,trmO
PN96_RS02245,abgT
PN96_RS02280,truC
PN96_RS02290,glnD
PN96_RS02295,map
PN96_RS02305,tsf
PN96_RS02310,pyrH
PN96_RS02315,frr
PN96_RS02320,uppS
PN96_RS02330,dxr
PN96_RS02335,rseP
PN96_RS02345,hlpA
PN96_RS02350,lpxD
PN96_RS02355,fabZ
PN96_RS02360,lpxA
PN96_RS02365,lpxB
PN96_RS02370,rnhB
PN96_RS02375,dnaE
PN96_RS02380,accA
PN96_RS02385,tilS
PN96_RS02395,glnB
PN96_RS02410,mltD
PN96_RS02415,gloB
PN96_RS02425,rnhA
PN96_RS02430,dnaQ
PN96_RS02445,fadE
PN96_RS02450,gmhA
PN96_RS02460,purN
PN96_RS02465,purM
PN96_RS02470,upp
PN96_RS02475,uraA
PN96_RS24125,wrbA
PN96_RS24130,arsC
PN96_RS02500,bepA
PN96_RS02510,perM
PN96_RS02515,bcp
PN96_RS02520,gcvR
PN96_RS02525,dapA
PN96_RS02530,bamC
PN96_RS02545,dapE
PN96_RS02575,yfeX
PN96_RS02580,fliC
PN96_RS02585,fliC
PN96_RS02590,fliC
PN96_RS02595,flaG
PN96_RS02600,fliD
PN96_RS02605,flaI
PN96_RS02610,fliS
PN96_RS02620,flrA
PN96_RS02625,flrB
PN96_RS02630,flrC
PN96_RS02635,fliE
PN96_RS02640,fliF
PN96_RS02645,fliG
PN96_RS02650,fliH
PN96_RS02655,fliI
PN96_RS02660,fliJ
PN96_RS02665,fliK
PN96_RS02670,fliL
PN96_RS02675,fliM
PN96_RS02680,fliN
PN96_RS02685,fliO
PN96_RS02690,fliP
PN96_RS02695,fliQ
PN96_RS02700,fliR
PN96_RS02705,flhB
PN96_RS02710,flhA
PN96_RS02715,flhF
PN96_RS02720,flhG
PN96_RS02725,fliA
PN96_RS02730,cheY
PN96_RS02735,cheZ
PN96_RS02740,cheA
PN96_RS02745,cheB
PN96_RS02750,parA
PN96_RS02755,cheW
PN96_RS02760,cheW
PN96_RS02770,ccmA
PN96_RS02775,ccmB
PN96_RS02780,ccmC
PN96_RS02785,ccmD
PN96_RS02790,ccmE
PN96_RS02795,ccmF
PN96_RS02800,ccmG
